frame,finger,x,y,raw_depth,corrected_depth,surface_depth,distance_mm
1,h0_f8,308,199,0.26366686820983887,0.25877788348081776,0.37,111.22211651918224
2,h0_f8,309,197,0.2687402367591858,0.26375718021321304,0.37,106.24281978678695
3,h0_f8,332,189,0.28226980566978455,0.2770358800774153,0.37,92.96411992258469
4,h0_f8,332,225,0.25402265787124634,0.24931249878455558,0.37,120.68750121544441
5,h0_f8,345,211,0.3292458951473236,0.32314092578049713,0.37,46.85907421950286
6,h0_f8,349,202,0.3414958119392395,0.33516370119308814,0.37,34.836298806911856
7,h0_f8,335,198,0.25963473320007324,0.25482051344483114,0.37,115.17948655516885
8,h0_f8,340,190,0.2865523397922516,0.2812390062558035,0.37,88.7609937441965
9,h0_f8,329,190,0.24755804240703583,0.24296775202625454,0.37,127.03224797374546
10,h0_f8,352,218,0.292108952999115,0.28669258718827506,0.37,83.30741281172493
11,h0_f8,343,232,0.24584583938121796,0.24128729714726696,0.37,128.71270285273303
12,h0_f8,335,212,0.24171656370162964,0.23723458765089495,0.37,132.76541234910505
13,h0_f8,333,205,0.2547805607318878,0.2500563483986253,0.37,119.94365160137471
14,h0_f8,336,213,0.25151339173316956,0.24684976016020624,0.37,123.15023983979376
15,h0_f8,317,200,0.24291525781154633,0.2384110552397552,0.37,131.5889447602448
16,h0_f8,310,210,0.24439270794391632,0.2398611100790264,0.37,130.13888992097358
17,h0_f8,327,225,0.2493923157453537,0.24476801375590587,0.37,125.23198624409412
18,h0_f8,341,216,0.28800132870674133,0.2826611276130474,0.37,87.33887238695259
19,h0_f8,328,224,0.24750028550624847,0.2429110660700567,0.37,127.08893392994331
20,h0_f8,328,210,0.2507772743701935,0.24612729209101816,0.37,123.87270790898184
21,h0_f8,337,209,0.2579488754272461,0.2531659153177934,0.37,116.83408468220658
22,h0_f8,344,199,0.2837516963481903,0.27849029312487716,0.37,91.50970687512283
23,h0_f8,336,194,0.2574610412120819,0.2526871266609295,0.37,117.31287333907048
24,h0_f8,335,191,0.25580063462257385,0.25105750779425967,0.37,118.94249220574032
25,h0_f8,329,191,0.23291946947574615,0.22860061160372733,0.37,141.39938839627266
26,h0_f8,329,203,0.23358577489852905,0.22925456220522014,0.37,140.74543779477986
27,h0_f8,332,182,0.255329430103302,0.2505950404808211,0.37,119.4049595191789
28,h0_f8,326,173,0.25758376717567444,0.25280757700542006,0.37,117.19242299457994
29,h0_f8,335,187,0.2693946063518524,0.264399416302086,0.37,105.60058369791398
30,h0_f8,337,172,0.29816582798957825,0.2926371539106005,0.37,77.36284608939947
31,h0_f8,335,165,0.27132391929626465,0.266292955386905,0.37,103.707044613095
32,h0_f8,343,168,0.28989356756210327,0.28451828004693236,0.37,85.48171995306764
33,h0_f8,363,193,0.3447166681289673,0.3383248353675591,0.37,31.67516463244091
34,h0_f8,376,178,0.3470848500728607,0.34064910582026725,0.37,29.350894179732745
35,h0_f8,348,174,0.31819599866867065,0.3122959195692797,0.37,57.70408043072028
36,h0_f8,344,178,0.2923494279384613,0.2869286031741163,0.37,83.07139682588371
37,h0_f8,328,165,0.2595069408416748,0.2546950906480425,0.37,115.30490935195748
38,h0_f8,320,165,0.2624865770339966,0.25761947759368725,0.37,112.38052240631275
39,h0_f8,323,161,0.30218425393104553,0.296581069075663,0.37,73.41893092433699
40,h0_f8,314,163,0.29318010807037354,0.28774388060296163,0.37,82.25611939703836
41,h0_f8,309,174,0.26411107182502747,0.2592138505484797,0.37,110.78614945152032
41,h1_f8,311,164,0.28153806924819946,0.27631771171697905,0.37,93.68228828302094
42,h0_f8,313,161,0.2882571518421173,0.2829122072043798,0.37,87.08779279562017
43,h0_f8,311,164,0.29064714908599854,0.28525788845168903,0.37,84.74211154831096
43,h1_f8,307,167,0.28446701169013977,0.2791923448899238,0.37,90.80765511007621
44,h0_f8,309,163,0.2946517765522003,0.28918826099666917,0.37,80.81173900333083
45,h0_f8,309,162,0.28711000084877014,0.2817863270052224,0.37,88.21367299477761
46,h0_f8,311,157,0.30639299750328064,0.30071177294881596,0.37,69.28822705118404
46,h1_f8,298,163,0.3085578680038452,0.30283650181577515,0.37,67.16349818422485
47,h0_f8,313,164,0.28027987480163574,0.2750828470633361,0.37,94.91715293666391
48,h0_f8,293,165,0.3451160490512848,0.33871681085724287,0.37,31.283189142757127
48,h1_f8,309,160,0.2932462692260742,0.28780881498003036,0.37,82.19118501996964
49,h0_f8,308,163,0.27583205699920654,0.2707175019411537,0.37,99.28249805884631
50,h0_f8,308,163,0.27583205699920654,0.2707175019411537,0.37,99.28249805884631
51,h0_f8,308,160,0.2832213044166565,0.27796973586870954,0.37,92.03026413129045
52,h0_f8,305,162,0.279511034488678,0.2743282628022464,0.37,95.67173719775357
53,h0_f8,296,207,0.2521038353443146,0.24742925560096551,0.37,122.57074439903448
53,h1_f8,307,162,0.2822380065917969,0.27700467062681516,0.37,92.99532937318483
54,h0_f8,298,161,0.300956666469574,0.29537624388384415,0.37,74.62375611615585
55,h0_f8,297,164,0.2777271568775177,0.27257746234810104,0.37,97.42253765189895
55,h1_f8,282,166,0.35060080885887146,0.34409987071624026,0.37,25.900129283759732
56,h0_f8,296,164,0.27925118803977966,0.274073234498795,0.37,95.926765501205
57,h0_f8,295,165,0.2708423435688019,0.2658203091711151,0.37,104.1796908288849
58,h0_f8,276,160,0.35209977626800537,0.3455710438529185,0.37,24.428956147081514
58,h1_f8,285,163,0.3095407485961914,0.3038011575615979,0.37,66.19884243840207
59,h0_f8,278,163,0.2770615816116333,0.27192422836473357,0.37,98.07577163526643
60,h0_f8,275,160,0.29300665855407715,0.2875736472360517,0.37,82.42635276394827
61,h0_f8,262,158,0.2739555537700653,0.26887579335911205,0.37,101.12420664088795
62,h0_f8,259,154,0.2823682129383087,0.27713246265087516,0.37,92.86753734912485
63,h0_f8,256,151,0.29977867007255554,0.2942200902251074,0.37,75.77990977489257
63,h1_f8,251,171,0.2704331576824188,0.2654187105237486,0.37,104.5812894762514
64,h0_f8,253,149,0.33038362860679626,0.324257563068324,0.37,45.74243693167601
65,h0_f8,253,149,0.27780014276504517,0.27264909491091244,0.37,97.35090508908756
66,h0_f8,258,151,0.27074143290519714,0.2657212696212256,0.37,104.27873037877438
67,h0_f8,254,149,0.27779901027679443,0.27264798342157526,0.37,97.35201657842474
67,h1_f8,256,174,0.2503372132778168,0.24569539073435293,0.37,124.30460926564707
68,h0_f8,258,151,0.26234573125839233,0.2574812434198013,0.37,112.51875658019873
69,h0_f8,262,150,0.30670681595802307,0.30101977249410145,0.37,68.98022750589855
70,h0_f8,259,148,0.3137373924255371,0.3079199860486744,0.37,62.08001395132562
70,h1_f8,252,171,0.2821909487247467,0.27695848531988204,0.37,93.04151468011796
71,h0_f8,260,149,0.31299030780792236,0.307186754082747,0.37,62.81324591725301
72,h0_f8,255,150,0.3121773898601532,0.30638890948666425,0.37,63.611090513335746
73,h0_f8,259,151,0.3131757974624634,0.3073688043362946,0.37,62.6311956637054
74,h0_f8,255,151,0.313583105802536,0.30776856025133886,0.37,62.23143974866113
75,h0_f8,259,149,0.3199765980243683,0.31404350255429103,0.37,55.95649744570896
76,h0_f8,258,149,0.32057979702949524,0.31463551687495367,0.37,55.36448312504633
77,h0_f8,257,149,0.31467220187187195,0.30883746199710443,0.37,61.16253800289556
78,h0_f8,261,150,0.30807211995124817,0.3023597606392692,0.37,67.64023936073077
78,h1_f8,256,146,0.32112210988998413,0.3151677740188814,0.37,54.83222598111859
79,h0_f8,258,148,0.3179912269115448,0.31209494474728006,0.37,57.90505525271994
80,h0_f8,261,148,0.31656143069267273,0.31069166020933,0.37,59.30833979067002
81,h0_f8,259,150,0.311976820230484,0.30619205887510004,0.37,63.807941124899955
82,h0_f8,256,148,0.31830668449401855,0.3124045530271325,0.37,57.59544697286751
83,h0_f8,261,150,0.31334641575813293,0.3075362589798615,0.37,62.46374102013852
84,h0_f8,258,150,0.3151973783969879,0.30935290055237696,0.37,60.647099447623035
85,h0_f8,258,147,0.3241628110408783,0.31815209363957736,0.37,51.847906360422634
86,h0_f8,258,151,0.3136245608329773,0.3078092466110247,0.37,62.19075338897528
87,h0_f8,261,151,0.3037659823894501,0.29813346868311597,0.37,71.86653131688404
88,h0_f8,256,151,0.30781981348991394,0.30211213251482605,0.37,67.88786748517394
89,h0_f8,259,149,0.3202144503593445,0.314276944564825,0.37,55.72305543517497
90,h0_f8,258,150,0.3186493217945099,0.3127408370510781,0.37,57.25916294892192
91,h0_f8,257,151,0.2979612350463867,0.29243635458691725,0.37,77.56364541308275
92,h0_f8,261,151,0.2930299639701843,0.28759652051662277,0.37,82.40347948337723
93,h0_f8,262,150,0.284336119890213,0.2790638801223176,0.37,90.93611987768242
94,h0_f8,265,162,0.24726837873458862,0.24268345937854305,0.37,127.31654062145695
95,h0_f8,270,169,0.2545037269592285,0.24978464775511564,0.37,120.21535224488436
95,h1_f8,268,158,0.2618224620819092,0.25696767684657035,0.37,113.03232315342964
96,h0_f8,267,161,0.25830674171447754,0.25351714594835256,0.37,116.48285405164744
97,h0_f8,266,159,0.25670233368873596,0.25194248730443597,0.37,118.05751269556403
97,h1_f8,269,158,0.25527679920196533,0.2505433854763601,0.37,119.45661452363987
98,h0_f8,266,164,0.2501988708972931,0.24555961353689662,0.37,124.44038646310338
99,h0_f8,261,161,0.2632516920566559,0.2583704056398518,0.37,111.62959436014819
99,h1_f8,265,164,0.2465890645980835,0.24201674127453202,0.37,127.98325872546798
100,h0_f8,266,163,0.2473691701889038,0.24278238192955495,0.37,127.21761807044504
101,h0_f8,270,167,0.2359103411436081,0.23153602569358595,0.37,138.46397430641406
101,h1_f8,261,172,0.23965805768966675,0.23521425103247556,0.37,134.78574896752443
102,h0_f8,284,168,0.23836980760097504,0.23394988803681732,0.37,136.05011196318267
103,h0_f8,287,165,0.2589755952358246,0.2541735974008541,0.37,115.8264025991459
104,h0_f8,283,160,0.29147881269454956,0.28607413112127456,0.37,83.92586887872544
104,h1_f8,296,167,0.24939219653606415,0.24476789675702826,0.37,125.23210324297173
105,h0_f8,297,162,0.2758055627346039,0.2706914989406068,0.37,99.30850105939321
106,h0_f8,295,164,0.2693931758403778,0.2643980123155548,0.37,105.60198768444518
106,h1_f8,299,161,0.27763035893440247,0.2724824592594888,0.37,97.51754074051122
107,h0_f8,303,160,0.2704560160636902,0.26544114505852867,0.37,104.55885494147132
108,h0_f8,304,162,0.2649267613887787,0.2600144153684666,0.37,109.98558463153341
108,h1_f8,296,167,0.2609560787677765,0.25611735825388343,0.37,113.88264174611656
109,h0_f8,312,156,0.27053114771842957,0.2655148836011369,0.37,104.4851163988631
110,h0_f8,324,159,0.2611490786075592,0.25630677943672,0.37,113.69322056328002
110,h1_f8,315,160,0.2562565505504608,0.2515049700016459,0.37,118.4950299983541
111,h0_f8,319,156,0.26149317622184753,0.25664449669691614,0.37,113.35550330308386
112,h0_f8,317,161,0.2564747631549835,0.2517191364470951,0.37,118.2808635529049
113,h0_f8,321,218,0.23550161719322205,0.23113488041687016,0.37,138.86511958312983
113,h1_f8,325,163,0.26466673612594604,0.25975921156669873,0.37,110.24078843330126
114,h0_f8,318,163,0.26586711406707764,0.2609373317647051,0.37,109.06266823529486
115,h0_f8,317,162,0.26682257652282715,0.26187507776867963,0.37,108.12492223132037
115,h1_f8,299,178,0.2678847014904022,0.26291750851838785,0.37,107.08249148161214
116,h0_f8,311,161,0.27800294756889343,0.2728481392514317,0.37,97.1518607485683
117,h0_f8,309,190,0.2587798833847046,0.25398151449355216,0.37,116.01848550644783
117,h1_f8,310,162,0.2739001512527466,0.2688214181307469,0.37,101.17858186925311
118,h0_f8,309,161,0.27559560537338257,0.27048543466743147,0.37,99.51456533256852
119,h0_f8,309,161,0.2740725576877594,0.2689906277574778,0.37,101.0093722425222
120,h0_f8,307,154,0.2905552387237549,0.2851676823170584,0.37,84.83231768294158
120,h1_f8,300,149,0.3251327872276306,0.3191040842568998,0.37,50.895915743100204
121,h0_f8,302,151,0.27123919129371643,0.26620979843464987,0.37,103.79020156535013
122,h0_f8,302,146,0.2885092794895172,0.28315965983050656,0.37,86.84034016949343
123,h0_f8,307,151,0.30046549439430237,0.29489417925840733,0.37,75.10582074159267
124,h0_f8,306,145,0.3083013892173767,0.3025847787306159,0.37,67.41522126938409
125,h0_f8,303,146,0.3042766749858856,0.29863469187475994,0.37,71.36530812524006
125,h1_f8,301,151,0.30366432666778564,0.2980336978902414,0.37,71.96630210975857
126,h0_f8,304,146,0.3034950792789459,0.297867588733767,0.37,72.13241126623299
127,h0_f8,308,146,0.29843056201934814,0.29289697916803364,0.37,77.10302083196635
128,h0_f8,304,147,0.2980281114578247,0.2925019909572516,0.37,77.4980090427484
129,h0_f8,304,169,0.2796098291873932,0.2744252256220585,0.37,95.57477437794148
129,h1_f8,307,150,0.2877562940120697,0.28242063642013787,0.37,87.57936357986212
130,h0_f8,305,147,0.2937491536140442,0.28830237474519144,0.37,81.69762525480856
131,h0_f8,305,149,0.2941329777240753,0.2886790818813483,0.37,81.32091811865172
132,h0_f8,305,145,0.3004318177700043,0.29486112707548495,0.37,75.13887292451504
133,h0_f8,305,145,0.30555057525634766,0.2998849711305269,0.37,70.11502886947308
134,h0_f8,302,151,0.2945391535758972,0.2890777263070553,0.37,80.92227369294469
134,h1_f8,304,162,0.28531548380851746,0.2800250844012511,0.37,89.97491559874888
135,h0_f8,304,146,0.3030548691749573,0.29743554112850473,0.37,72.56445887149526
136,h0_f8,308,146,0.30237215757369995,0.29676548855648205,0.37,73.23451144351795
136,h1_f8,298,153,0.2963477671146393,0.290852804028303,0.37,79.147195971697
137,h0_f8,304,147,0.29634302854537964,0.2908481533229183,0.37,79.15184667708169
138,h0_f8,305,146,0.29971247911453247,0.29415512659831927,0.37,75.84487340168073
139,h0_f8,306,146,0.3093010485172272,0.30356590206846107,0.37,66.43409793153893
139,h1_f8,308,156,0.2946214973926544,0.28915854328175844,0.37,80.84145671824156
140,h0_f8,303,148,0.30751150846481323,0.3018095441676297,0.37,68.19045583237032
141,h0_f8,302,148,0.3129942715167999,0.3071906442954272,0.37,62.8093557045728
141,h1_f8,301,152,0.31049129366874695,0.30473407736187136,0.37,65.26592263812864
142,h0_f8,307,145,0.31514501571655273,0.3093015087953906,0.37,60.698491204609404
143,h0_f8,309,146,0.2755822539329529,0.27047233079314015,0.37,99.52766920685985
143,h1_f8,307,162,0.2656521499156952,0.2607263535386706,0.37,109.27364646132942
144,h0_f8,336,151,0.31165894865989685,0.3058800813679762,0.37,64.11991863202383
